File	Component Definitions	Annotated Defs	Annotations per def
sb200005w.xml	13	0	
sb200029a.xml	6	0	
sb3000029.xml	195	0	
sb300010a.xml	116	0	
sb300016b.xml	2086	0	
sb3000172.xml	10	0	
sb3000194.xml	110	0	
sb300027y.xml	43	1	1
sb300029m.xml	56	0	
sb300037w.xml	36	0	
sb300040v.xml	1	0	
sb300042w.xml	4	0	
sb300045j.xml	55	0	
sb3000518.xml	728	0	
sb300061x.xml	5	0	
sb3000657.xml	79	0	
sb300069k.xml	967	0	
sb3000723.xml	11	0	
sb3000782.xml	46	0	
sb300080t.xml	114	0	
sb3000832.xml	10	0	
sb300084h.xml	8	2	"1, 2"
sb3000904.xml	23	0	
sb300091d.xml	12	0	
sb300093y.xml	14	0	
sb3001003.xml	26	0	
sb300104f.xml	38	0	
sb3001084.xml	11	0	
sb300114d.xml	39	1	1
sb300115n.xml	7	0	
sb300119v.xml	18	0	
sb300123m.xml	51	0	
sb300128r.xml	14	0	
sb300131w.xml	38	0	
sb3001326.xml	7	0	
sb400002n.xml	3	0	
sb400003y.xml	79	0	
sb4000096.xml	41	1	3
sb400016j.xml	52	0	
sb400019s.xml	38	0	
sb400021j.xml	10	0	
sb400037a.xml	7	1	1
sb4000433.xml	3	0	
sb400048b.xml	73	0	
sb400050k.xml	17	0	
sb400051t.xml	129	0	
sb400053b.xml	1134	0	
sb4000542.xml	92	0	
sb400058n.xml	110	0	
sb400059y.xml	7	0	
sb400065q.xml	37	0	
sb400066m.xml	10	4	"9, 1, 5, 4"
sb400067v.xml	127	0	
sb400074w.xml	14	0	
sb4000756.xml	7	0	
sb400076r.xml	1	0	
sb4000788.xml	2	0	
sb400079u.xml	55	0	
sb400081r.xml	58	0	
sb400082j.xml	26	0	
sb400086p.xml	21	1	3
sb400089c.xml	20	1	1
sb400090s.xml	19	0	
sb400091p.xml	49	0	
sb400093x.xml	28	0	
sb4000959.xml	97	0	
sb4000965.xml	2	0	
sb4000977.xml	25	9	"1, 1, 1, 1, 1, 1, 1, 1, 1"
sb400102w.xml	4	0	
sb400109p.xml	207	0	
sb400114p.xml	26	0	
sb400117c.xml	27	0	
sb4001189.xml	39	0	
sb400128g.xml	23	23	"3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2"
sb400131a.xml	97	1	2
sb400135t.xml	696	0	
sb4001382.xml	57	0	
sb400139h.xml	0	0	
sb400140t.xml	16	0	
sb4001432.xml	48	0	
sb4001504.xml	160	151	"2, 2, 2, 1, 2, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 2, 2, 1, 2, 3, 2, 2, 3, 2, 3, 3, 3, 2, 2, 2, 3, 3, 2, 1, 2, 1, 3, 2, 1, 2, 3, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 2, 3, 1, 2, 1, 1, 1, 2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 1, 1, 2, 2, 2, 2, 3, 3, 2, 3, 1, 1, 1, 2, 3, 1"
sb400156v.xml	6	0	
sb400157z.xml	13	0	
sb4001596.xml	26	0	
sb400160m.xml	2	0	
sb400162z.xml	16	0	
sb4001728.xml	42	0	
sb400174s.xml	6	0	
sb400194g.xml	15	0	
sb4001992.xml	960	0	
sb400202s.xml	1	0	
sb400206c.xml	12	1	1
sb500003x.xml	20	0	
sb5000059.xml	16	0	
sb5000115.xml	21	0	
sb500018f.xml	22	0	
sb500023f.xml	13	0	
sb5000252.xml	1	1	1
sb500031h.xml	17	3	"1, 1, 1"
sb500033d.xml	2	2	"2, 2"
sb500035y.xml	43	0	
sb500036q.xml	8	0	
sb500045w.xml	4	0	
sb500062p.xml	15	0	
sb5000725.xml	20	0	
sb500074a.xml	69	0	
sb500079f.xml	85	0	
sb500090b.xml	12	0	
sb500096y.xml	26	0	
sb5001356.xml	2	0	
sb5001565.xml	26	0	
sb500173f.xml	3164	0	
sb500194z.xml	13	1	2
sb500195w.xml	10	0	
sb500225r.xml	24	0	
sb500226j.xml	16	0	
sb500234s.xml	43	16	"6, 3, 3, 3, 3, 6, 8, 3, 3, 6, 11, 6, 3, 6, 3, 11"
sb500237x.xml	44	0	
sb5002399.xml	8	0	
