ind,synbiohub_uri,igem_link,team_name
0,https://synbiohub.org/public/igem/BBa_K1444010/1,http://parts.igem.org/Part:BBa_K1444010,iGEM14_Calgary
1,https://synbiohub.org/public/igem/BBa_K1444011/1,http://parts.igem.org/Part:BBa_K1444011,iGEM14_Calgary
2,https://synbiohub.org/public/igem/BBa_K1444012/1,http://parts.igem.org/Part:BBa_K1444012,iGEM14_Calgary
3,https://synbiohub.org/public/igem/BBa_K1444013/1,http://parts.igem.org/Part:BBa_K1444013,iGEM14_Calgary
4,https://synbiohub.org/public/igem/BBa_K1444014/1,http://parts.igem.org/Part:BBa_K1444014,iGEM14_Calgary
5,https://synbiohub.org/public/igem/BBa_K1444015/1,http://parts.igem.org/Part:BBa_K1444015,iGEM14_Calgary
6,https://synbiohub.org/public/igem/BBa_K1444016/1,http://parts.igem.org/Part:BBa_K1444016,iGEM14_Calgary
7,https://synbiohub.org/public/igem/BBa_K1333322/1,http://parts.igem.org/Part:BBa_K1333322,iGEM14_SYSU-China
8,https://synbiohub.org/public/igem/BBa_K1362096/1,http://parts.igem.org/Part:BBa_K1362096,iGEM14_Heidelberg
9,https://synbiohub.org/public/igem/BBa_K1362097/1,http://parts.igem.org/Part:BBa_K1362097,iGEM14_Heidelberg
10,https://synbiohub.org/public/igem/BBa_K1470006/1,http://parts.igem.org/Part:BBa_K1470006,iGEM14_Freiburg
11,https://synbiohub.org/public/igem/BBa_K1326002/1,http://parts.igem.org/Part:BBa_K1326002,iGEM14_Macquarie_Australia
12,https://synbiohub.org/public/igem/BBa_K1326003/1,http://parts.igem.org/Part:BBa_K1326003,iGEM14_Macquarie_Australia
13,https://synbiohub.org/public/igem/BBa_K1362108/1,http://parts.igem.org/Part:BBa_K1362108,iGEM14_Heidelberg
14,https://synbiohub.org/public/igem/BBa_K1499503/1,http://parts.igem.org/Part:BBa_K1499503,iGEM14_StanfordBrownSpelman
15,https://synbiohub.org/public/igem/BBa_K1428000/1,http://parts.igem.org/Part:BBa_K1428000,iGEM14_Hong_Kong_HKU
16,https://synbiohub.org/public/igem/BBa_K1326004/1,http://parts.igem.org/Part:BBa_K1326004,iGEM14_Macquarie_Australia
17,https://synbiohub.org/public/igem/BBa_K1480002/1,http://parts.igem.org/Part:BBa_K1480002,iGEM14_UANL_Mty-Mexico
18,https://synbiohub.org/public/igem/BBa_K1519007/1,http://parts.igem.org/Part:BBa_K1519007,iGEM14_Michigan
19,https://synbiohub.org/public/igem/BBa_K1431101/1,http://parts.igem.org/Part:BBa_K1431101,iGEM14_SUSTC-Shenzhen
20,https://synbiohub.org/public/igem/BBa_K1321102/1,http://parts.igem.org/Part:BBa_K1321102,iGEM14_Imperial
21,https://synbiohub.org/public/igem/BBa_K1321103/1,http://parts.igem.org/Part:BBa_K1321103,iGEM14_Imperial
22,https://synbiohub.org/public/igem/BBa_K1321106/1,http://parts.igem.org/Part:BBa_K1321106,iGEM14_Imperial
23,https://synbiohub.org/public/igem/BBa_K1321107/1,http://parts.igem.org/Part:BBa_K1321107,iGEM14_Imperial
