Spurious,Real
https://synbiohub.org/public/igem/BBa_K827043/1,https://synbiohub.org/public/igem/BBa_J01007/1
https://synbiohub.org/public/igem/BBa_K1628000/1,https://synbiohub.org/public/igem/BBa_K289007/1
https://synbiohub.org/public/igem/BBa_I732999/1,https://synbiohub.org/public/igem/BBa_J56014/1
https://synbiohub.org/public/igem/BBa_K1497024/1,https://synbiohub.org/public/igem/BBa_K1111006/1
https://synbiohub.org/public/igem/BBa_K805013/1,https://synbiohub.org/public/igem/BBa_K1024003/1
https://synbiohub.org/public/igem/BBa_K1256007/1,https://synbiohub.org/public/igem/BBa_J96006/1
https://synbiohub.org/public/igem/BBa_K782056/1,https://synbiohub.org/public/igem/BBa_K678018/1
https://synbiohub.org/public/igem/BBa_K1442005/1,https://synbiohub.org/public/igem/BBa_K346050/1
https://synbiohub.org/public/igem/BBa_M11565/1,https://synbiohub.org/public/igem/BBa_K1796106/1
https://synbiohub.org/public/igem/BBa_K1833996/1,https://synbiohub.org/public/igem/BBa_K726013/1
https://synbiohub.org/public/igem/BBa_K827006/1,https://synbiohub.org/public/igem/BBa_J61141/1
https://synbiohub.org/public/igem/BBa_K874002/1,https://synbiohub.org/public/igem/BBa_K2148010/1
https://synbiohub.org/public/igem/BBa_K1256013/1,https://synbiohub.org/public/igem/BBa_K1660004/1
https://synbiohub.org/public/igem/BBa_K827030/1,https://synbiohub.org/public/igem/BBa_K1994044/1
https://synbiohub.org/public/igem/BBa_K1773009/1,https://synbiohub.org/public/igem/BBa_K2082106/1
https://synbiohub.org/public/igem/BBa_J61052/1,https://synbiohub.org/public/igem/BBa_K2042009/1
https://synbiohub.org/public/igem/BBa_K1618039/1,https://synbiohub.org/public/igem/BBa_K1841002/1
https://synbiohub.org/public/igem/BBa_M45072/1,https://synbiohub.org/public/igem/BBa_K1053100/1
https://synbiohub.org/public/igem/BBa_K827004/1,https://synbiohub.org/public/igem/BBa_K1319002/1
https://synbiohub.org/public/igem/BBa_K2022013/1,https://synbiohub.org/public/igem/BBa_K1218014/1
https://synbiohub.org/public/igem/BBa_K245118/1,https://synbiohub.org/public/igem/BBa_M36540/1
https://synbiohub.org/public/igem/BBa_K1442012/1,https://synbiohub.org/public/igem/BBa_K1321339/1
https://synbiohub.org/public/igem/BBa_K827059/1,https://synbiohub.org/public/igem/BBa_J48104/1
https://synbiohub.org/public/igem/BBa_K827031/1,https://synbiohub.org/public/igem/BBa_K777132/1
https://synbiohub.org/public/igem/BBa_K874040/1,https://synbiohub.org/public/igem/BBa_M45446/1
https://synbiohub.org/public/igem/BBa_K782044/1,https://synbiohub.org/public/igem/BBa_M45176/1
https://synbiohub.org/public/igem/BBa_K1256006/1,https://synbiohub.org/public/igem/BBa_J61041/1
https://synbiohub.org/public/igem/BBa_K371056/1,https://synbiohub.org/public/igem/BBa_J331014/1
https://synbiohub.org/public/igem/BBa_K245125/1,https://synbiohub.org/public/igem/BBa_K936012/1
https://synbiohub.org/public/igem/BBa_K1618044/1,https://synbiohub.org/public/igem/BBa_K382033/1
https://synbiohub.org/public/igem/BBa_J29045/1,https://synbiohub.org/public/igem/BBa_K102957/1
https://synbiohub.org/public/igem/BBa_K805001/1,https://synbiohub.org/public/igem/BBa_K208003/1
https://synbiohub.org/public/igem/BBa_K1486045/1,https://synbiohub.org/public/igem/BBa_K112956/1
https://synbiohub.org/public/igem/BBa_K245027/1,https://synbiohub.org/public/igem/BBa_K1796103/1
https://synbiohub.org/public/igem/BBa_K1650036/1,https://synbiohub.org/public/igem/BBa_K112115/1
https://synbiohub.org/public/igem/BBa_K2066549/1,https://synbiohub.org/public/igem/BBa_M36660/1
https://synbiohub.org/public/igem/BBa_J70567/1,https://synbiohub.org/public/igem/BBa_K091101/1
https://synbiohub.org/public/igem/BBa_M11564/1,https://synbiohub.org/public/igem/BBa_J70510/1
https://synbiohub.org/public/igem/BBa_K827054/1,https://synbiohub.org/public/igem/BBa_K1638002/1
https://synbiohub.org/public/igem/BBa_K874041/1,https://synbiohub.org/public/igem/BBa_K1890050/1
https://synbiohub.org/public/igem/BBa_K827041/1,https://synbiohub.org/public/igem/BBa_K1587003/1
https://synbiohub.org/public/igem/BBa_K245025/1,https://synbiohub.org/public/igem/BBa_K108015/1
https://synbiohub.org/public/igem/BBa_K861000/1,https://synbiohub.org/public/igem/BBa_I735010/1
https://synbiohub.org/public/igem/BBa_K185049/1,https://synbiohub.org/public/igem/BBa_K237008/1
https://synbiohub.org/public/igem/BBa_K827042/1,https://synbiohub.org/public/igem/BBa_M34570/1
https://synbiohub.org/public/igem/BBa_K1442000/1,https://synbiohub.org/public/igem/BBa_J29028/1
https://synbiohub.org/public/igem/BBa_K109130/1,https://synbiohub.org/public/igem/BBa_K1123016/1
https://synbiohub.org/public/igem/BBa_K782058/1,https://synbiohub.org/public/igem/BBa_I713002/1
https://synbiohub.org/public/igem/BBa_K1725203/1,https://synbiohub.org/public/igem/BBa_K2066510/1
https://synbiohub.org/public/igem/BBa_K1362467/1,https://synbiohub.org/public/igem/BBa_M31302/1
https://synbiohub.org/public/igem/BBa_K2066534/1,https://synbiohub.org/public/igem/BBa_K187364/1
https://synbiohub.org/public/igem/BBa_K1362437/1,https://synbiohub.org/public/igem/BBa_I766201/1
https://synbiohub.org/public/igem/BBa_K827086/1,https://synbiohub.org/public/igem/BBa_I716462/1
https://synbiohub.org/public/igem/BBa_J58112/1,https://synbiohub.org/public/igem/BBa_M1105/1
https://synbiohub.org/public/igem/BBa_I766231/1,https://synbiohub.org/public/igem/BBa_K115006/1
https://synbiohub.org/public/igem/BBa_K827079/1,https://synbiohub.org/public/igem/BBa_K228008/1
https://synbiohub.org/public/igem/BBa_K121006/1,https://synbiohub.org/public/igem/BBa_K116403/1
https://synbiohub.org/public/igem/BBa_K827010/1,https://synbiohub.org/public/igem/BBa_J119393/1
https://synbiohub.org/public/igem/BBa_I747001/1,https://synbiohub.org/public/igem/BBa_K1696015/1
https://synbiohub.org/public/igem/BBa_K1592001/1,https://synbiohub.org/public/igem/BBa_J99008/1
https://synbiohub.org/public/igem/BBa_M45961/1,https://synbiohub.org/public/igem/BBa_K2149020/1
https://synbiohub.org/public/igem/BBa_J52006/1,https://synbiohub.org/public/igem/BBa_J26002/1
https://synbiohub.org/public/igem/BBa_J58002/1,https://synbiohub.org/public/igem/BBa_J202000/1
https://synbiohub.org/public/igem/BBa_K874999/1,https://synbiohub.org/public/igem/BBa_K590020/1
https://synbiohub.org/public/igem/BBa_K2042003/1,https://synbiohub.org/public/igem/BBa_J45501/1
https://synbiohub.org/public/igem/BBa_K782047/1,https://synbiohub.org/public/igem/BBa_K1199049/1
https://synbiohub.org/public/igem/BBa_K1890057/1,https://synbiohub.org/public/igem/BBa_K277002/1
https://synbiohub.org/public/igem/BBa_K188027/1,https://synbiohub.org/public/igem/BBa_K1365009/1
https://synbiohub.org/public/igem/BBa_K1479007/1,https://synbiohub.org/public/igem/BBa_K1325006/1
https://synbiohub.org/public/igem/BBa_K827032/1,https://synbiohub.org/public/igem/BBa_K1980009/1
https://synbiohub.org/public/igem/BBa_K320015/1,https://synbiohub.org/public/igem/BBa_K2139002/1
https://synbiohub.org/public/igem/BBa_J29043/1,https://synbiohub.org/public/igem/BBa_J100209/1
https://synbiohub.org/public/igem/BBa_J16010/1,https://synbiohub.org/public/igem/BBa_K372001/1
https://synbiohub.org/public/igem/BBa_K2066126/1,https://synbiohub.org/public/igem/BBa_K2036011/1
https://synbiohub.org/public/igem/BBa_J58105/1,https://synbiohub.org/public/igem/BBa_I716154/1
https://synbiohub.org/public/igem/BBa_I732024/1,https://synbiohub.org/public/igem/BBa_M31022/1
https://synbiohub.org/public/igem/BBa_I722003/1,https://synbiohub.org/public/igem/BBa_I11004/1
https://synbiohub.org/public/igem/BBa_K1256009/1,https://synbiohub.org/public/igem/BBa_K313023/1
https://synbiohub.org/public/igem/BBa_J16001/1,https://synbiohub.org/public/igem/BBa_K1982008/1
https://synbiohub.org/public/igem/BBa_M1845/1,https://synbiohub.org/public/igem/BBa_M36527/1
https://synbiohub.org/public/igem/BBa_K1618045/1,https://synbiohub.org/public/igem/BBa_K783066/1
https://synbiohub.org/public/igem/BBa_K245133/1,https://synbiohub.org/public/igem/BBa_J64852/1
https://synbiohub.org/public/igem/BBa_I766232/1,https://synbiohub.org/public/igem/BBa_I742118/1
https://synbiohub.org/public/igem/BBa_M36296/1,https://synbiohub.org/public/igem/BBa_K105105/1
https://synbiohub.org/public/igem/BBa_K1618043/1,https://synbiohub.org/public/igem/BBa_K566036/1
https://synbiohub.org/public/igem/BBa_K782052/1,https://synbiohub.org/public/igem/BBa_K1159307/1
https://synbiohub.org/public/igem/BBa_K874090/1,https://synbiohub.org/public/igem/BBa_K590002/1
https://synbiohub.org/public/igem/BBa_M45098/1,https://synbiohub.org/public/igem/BBa_K525224/1
https://synbiohub.org/public/igem/BBa_K1256002/1,https://synbiohub.org/public/igem/BBa_K187266/1
https://synbiohub.org/public/igem/BBa_K827005/1,https://synbiohub.org/public/igem/BBa_J202036/1
https://synbiohub.org/public/igem/BBa_K827067/1,https://synbiohub.org/public/igem/BBa_K1481006/1
https://synbiohub.org/public/igem/BBa_K827036/1,https://synbiohub.org/public/igem/BBa_K321004/1
https://synbiohub.org/public/igem/BBa_K1152999/1,https://synbiohub.org/public/igem/BBa_K187010/1
https://synbiohub.org/public/igem/BBa_J580002/1,https://synbiohub.org/public/igem/BBa_K1959002/1
https://synbiohub.org/public/igem/BBa_K1633998/1,https://synbiohub.org/public/igem/BBa_K1033115/1
https://synbiohub.org/public/igem/BBa_K827058/1,https://synbiohub.org/public/igem/BBa_J100173/1
https://synbiohub.org/public/igem/BBa_K827008/1,https://synbiohub.org/public/igem/BBa_I15007/1
